time	V(n002)	V(n003)
1.427371632260150e-04	-9.354154e+00	7.577807e-03
1.429324757260150e-04	-8.819930e+00	7.963669e-03
1.431277882260150e-04	-8.251747e+00	8.319560e-03
1.433231007260150e-04	-7.652355e+00	8.644136e-03
1.435184132260150e-04	-7.024498e+00	8.936178e-03
1.439090382260151e-04	-5.694397e+00	9.418388e-03
1.442996632260151e-04	-4.283525e+00	9.758937e-03
1.446902882260151e-04	-2.813961e+00	9.952702e-03
1.450809132260151e-04	-1.307697e+00	9.996769e-03
1.452762257260151e-04	-5.476418e-01	9.962371e-03
1.454715382260151e-04	2.133939e-01	9.890476e-03
1.458621632260151e-04	1.727538e+00	9.635421e-03
1.462527882260151e-04	3.213032e+00	9.235440e-03
1.466434132260151e-04	4.648221e+00	8.696549e-03
1.470340382260151e-04	6.011527e+00	8.026854e-03
1.474246632260152e-04	7.281546e+00	7.236428e-03
1.476199757260152e-04	7.874974e+00	6.799590e-03
1.478152882260152e-04	8.437228e+00	6.337159e-03
1.480106007260152e-04	8.965770e+00	5.850877e-03
1.482059132260152e-04	9.458113e+00	5.342574e-03
1.484012257260152e-04	9.911817e+00	4.814162e-03
1.485965382260152e-04	1.032446e+01	4.267631e-03
1.487918507260152e-04	1.069361e+01	3.705037e-03
1.489871632260152e-04	1.101673e+01	3.128499e-03
1.491824757260152e-04	1.129094e+01	2.540185e-03
1.493777882260152e-04	1.151283e+01	1.942311e-03
1.495731007260152e-04	1.167886e+01	1.337127e-03
1.497684132260152e-04	1.178853e+01	7.269096e-04
1.499637257260152e-04	1.184905e+01	1.139565e-04
1.501590382260152e-04	1.187387e+01	-4.994255e-04
1.503543507260152e-04	1.187340e+01	-1.110928e-03
1.505496632260152e-04	1.184795e+01	-1.718249e-03
1.507449757260152e-04	1.178661e+01	-2.319103e-03
1.509402882260153e-04	1.167539e+01	-2.911228e-03
1.511356007260153e-04	1.150839e+01	-3.492396e-03
1.513309132260153e-04	1.128688e+01	-4.060420e-03
1.515262257260153e-04	1.101417e+01	-4.613161e-03
1.517215382260153e-04	1.069377e+01	-5.148539e-03
1.519168507260153e-04	1.032865e+01	-5.664539e-03
1.521121632260153e-04	9.921463e+00	-6.159219e-03
1.523074757260153e-04	9.474730e+00	-6.630717e-03
1.525027882260153e-04	8.990936e+00	-7.077259e-03
